name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,time_signature,release_year,decade,mood_Calm,mood_Energetic,mood_Happy,mood_Sad,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,energy_danceability,valence_danceability,acoustic_instrumental,speechiness_energy,tempo_category
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Group Therapy 300 Live from Hong Kong (ABGT300),Above & Beyond,0TEW7oRDKD2mjJQH507ni4,2018-10-05,1.1123448673975447,2.523305240464784,0.19798216246198422,-1.0950391539642492,0.4790975215845147,-0.7481639342588189,0.9585181213128827,-1.0607556534076164,0.23140534018921782,0.1536823331282992,0.339749690238233,0.25951051390665175,0.5192737409480563,0.2538771048279807,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.09485276335347938,-0.21001069810541492,0.8192688015973412,0.0736288249130939,slow
Focus,Focus,Light of Sun,3DZ7DFolE5U2xEGIzFjeGo,2019-06-03,1.187857679949517,-0.5127146989731094,-1.432602774739981,-0.5159197237258892,-1.0626554199789657,0.32029218954391936,-0.23846328943646639,-1.1587249132468058,-0.8302060349010592,-0.02288645752944191,-0.1811160890217494,0.25951051390665175,0.6042097891813348,0.2538771048279807,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.522363103254346,1.6599925258777177,-0.16524505794105904,0.024320418137779853,
Follow me,Follow me,Andre Ehmann,7d44sL4znFm5HZ6ltUVqbI,2019-07-19,1.187857679949517,-0.2670336856036023,-0.16087243761721304,1.3284872664900178,-1.2220414099616714,1.4587111031096933,-0.2807096921687964,0.248145388978315,-2.4531060696219265,-0.5719428339583079,-0.6950406747770412,0.25951051390665175,0.6042097891813348,0.2538771048279807,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.19659278048971005,-0.039919753608413044,1.937879125968835,0.6989378272278848,
Found,Found,Martin Gauffin,2T2EemW8X3GlKvJe1gxpBC,2019-08-23,1.2059973295005244,-1.0612535880234695,0.10354674138851126,1.0994591858027059,-0.33928823467283975,1.2612551459387562,-0.4004078332437313,-0.5847916379945505,-0.3684727522352641,-0.605805341755683,-0.6606109736617325,0.25951051390665175,0.6042097891813348,0.2538771048279807,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-0.035132191091833055,-0.060553268505585615,1.3866985558432978,0.20554262495966205,
Free,TOGETHER,Third Party,6s2T9kuNYNZKsG5Fa1LiDN,2019-03-15,1.1694366921162096,0.15725313752786244,-0.12309826918782386,-1.037811371419743,1.269897241114093,-0.8477451175974953,-0.4912375991182407,-0.38250693144399744,0.9863111192197139,0.24317610373564746,0.3037659905770982,0.25951051390665175,0.6042097891813348,0.2538771048279807,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.15632215242753747,0.04708594121310169,0.8797995231082478,0.3088086632387732,slow
Freya,Cantec De Leagane / Freya,Dave Pad,0aaTrekfgJgLiH00lnPKm7,2017-03-24,1.0926515515379616,1.1315252622582521,0.8779171941909889,-1.0952852373275408,0.48829286716044,1.339262437660608,-0.6482533959400671,-0.21591952604942447,0.17968478095851656,-0.3881177916297007,0.13327508344943564,0.25951051390665175,0.43433769271477785,0.2538771048279807,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.42868070388096674,-0.18955946448035887,-1.4668743768769599,-0.18951514927084478,slow
Friday I'm In Love,Wish,The Cure,4QlzkaRHtU8gAdwqjWmO8n,1992-01-01,1.5800627017617763,-0.08342642522190795,0.16020799403259503,-1.0927293814058283,0.7825439255900505,-0.8520903675191891,1.3528178801479624,0.6804793696451832,-0.15167517494180602,-0.48003031279400443,0.5894945232030417,0.25951051390665175,-1.6890635131171847,-1.3891388754738505,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.1253697925611743,0.10901823479141953,0.9311041802011084,-0.37564480537604006,slow
From Yesterday,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,4ogyT8HqLV6IdCepscSkh3,2007-05-15,,0.4528440971514672,-0.21123799552306494,-1.0817165417812893,1.1289019422832376,-0.8378235651816223,-0.8559648760406895,-0.8386391128815189,0.896403100453391,0.3713698832542814,0.549781227031923,0.25951051390665175,-0.4150227896180072,-0.5676308853229348,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.23846698343000586,0.17715244517233344,0.9062876095511351,0.41924018251125744,slow
Frozen,Frozen,Ron Adelaar,4nTeeVQnNghbWWo6k7oPrH,2020-06-05,1.0725967192430563,-0.9401208937454553,-0.9352428904196907,1.3065590459986796,-1.4807371321643708,1.4099565457835361,-0.4215310346098963,-0.668085340691837,-2.102987361669018,-0.29136776935148656,-1.392578822046974,0.25951051390665175,0.6891458374146133,1.0753850949788963,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.3848488754371695,0.6248220650756574,1.8421914793585306,0.43143907519465,
Fête sous les étoiles,Suite,Biba Dupont,55ux9bDGw3qTVfad3PxSTq,2020-05-01,0.8202457690900641,-0.6264410639361825,-1.1870706799489517,1.3260507975465359,-1.5312808816800403,1.4904015653716955,-0.47081850446428125,-1.0793975773446283,-2.5257292382826524,-0.3639302860601473,-0.12600094059644046,0.25951051390665175,0.6891458374146133,1.0753850949788963,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.8177386374087556,1.281321216073739,1.9763481844257424,0.5572794893082517,
Game Time (feat. Ninja),Game Time (feat. Ninja),3LAU,229MM2St7SnW43nT8ADlG8,2018-11-30,1.2059973295005244,-1.1033912451611818,0.2105735519384473,-1.0956031965246653,1.3771762728332217,0.9955428085111987,0.697998637796848,0.7042775704158365,1.0057398267027493,-0.2042927493010937,-0.8318616134117988,0.25951051390665175,0.5192737409480563,0.2538771048279807,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.28999689941584367,0.14830222955304262,-1.090719883282012,-0.281347127049332,
